Length,Mass,SASAmiller,NetCh,NCD,fFatty,fPos,fNeg,Species,Taxid,SeqNum,fCharged,NCD1000,MWkDa,I,L,V,A,G,P,F,M,W,Y,H,T,S,N,Q,D,E,K,R,C,X,U,kingdom,phylum,class,order,family,genus,species,GC,AssemblyID
659.8694515345826,73614.93247569836,21131.313616244,-4.130592933182736,-6.733850889836382e-05,0.2392664433925691,0.1164526938701837,0.1175383832518456,Homo sapiens,9606,112441,0.2339910771220293,-0.06733850889836382,73.61493247569835,0.0438806721146147,0.0993561495559701,0.0591332046244534,0.0689323167923614,0.0645455876523506,0.061859826191184,0.0368964170975402,0.0228486871825609,0.0126056955448841,0.0269113899428784,0.0268437676279455,0.0526793224549705,0.0823808833357508,0.0360257244061542,0.0480146663030834,0.0468974249719811,0.0706409582798684,0.0590084241052947,0.0574442697648904,0.0230898545125262,3.178146517536876e-07,2.773642725616863e-06,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,41.4778,GCA_000001405
400.64249400268505,44687.27857693069,14524.132461144098,-0.8582872988973744,0.000121788735085,0.2459765147798335,0.1160660618199502,0.1075088328986095,Mus musculus,10090,45437,0.2235748947185597,0.121788735085,44.68727857693069,0.0436309829379239,0.102656502549652,0.0605919299410981,0.0682352697951543,0.0651906366230446,0.0604515231375804,0.0390970993511527,0.0242921617215405,0.0143523457611086,0.0269904660604551,0.0271686778031124,0.0537268015212437,0.0838287827151963,0.0341198521330431,0.0458787384946613,0.0437759996906846,0.063732833207921,0.0567885134749206,0.0592775483450261,0.0261764010960501,3.6933639398120334e-05,0.0,Eukaryota,Chordata,Mammalia,Rodentia,Muridae,Mus,Mus musculus,41.8304,GCA_000002165
431.80315743675806,48290.52280440052,15801.66497976282,-1.9517682888930328,-1.815642817610043e-05,0.2562856995689813,0.1201185030948814,0.1189678372069738,Arabidopsis thaliana,3702,48267,0.23908634030185522,-0.01815642817610043,48.29052280440052,0.0531730496060792,0.0932410864496536,0.0666596366416655,0.0630495301843593,0.064213533494584,0.048312088799873,0.0432119268715768,0.0260332379458331,0.0122867611662579,0.0283547353925257,0.0228013357363157,0.0511829360079187,0.090661220438545,0.0432234245792864,0.0348143867618693,0.0527446528444486,0.0662231843625229,0.0652715296379703,0.0548469734569087,0.0196643752501249,4.562570807131401e-07,0.0,Eukaryota,Streptophyta,Magnoliopsida,Brassicales,Brassicaceae,Arabidopsis,Arabidopsis thaliana,36.0529,GCA_000001735
406.6498038071149,45475.38980121283,15073.599825268211,-1.7723189674741382,-2.211265368135279e-05,0.256552110118062,0.1194285290227073,0.1187399375345435,Arabidopsis thaliana,3702,30837,0.2381684665572508,-0.02211265368135279,45.47538980121283,0.0529043733470257,0.093186013237892,0.0669103561054171,0.0634281464699521,0.0644242655075009,0.0489724099680672,0.0435513674277212,0.0259605388312409,0.0123622990126145,0.0283576336398109,0.0227572256980431,0.0514428208499682,0.0907012576198643,0.0431305983705075,0.0342469232626015,0.0527566025177945,0.0659833350167464,0.0645947310274871,0.0548337979952173,0.0194648559342498,2.9221004499051055e-05,0.0,Eukaryota,Streptophyta,Magnoliopsida,Brassicales,Brassicaceae,Arabidopsis,Arabidopsis thaliana,35.8882,GCA_001651475
345.7996777048957,38567.677532399735,12855.211404555474,-1.0958714451076963,0.0001189582986695,0.2455773938375742,0.114922545587727,0.1050600385216426,Rattus norvegicus,10116,44059,0.2199825841093696,0.1189582986695,38.567677532399735,0.0430553171786797,0.1027800226281054,0.0605449088621248,0.0669601218643098,0.0648721262472651,0.0606461094725516,0.0391971451686556,0.02878210476179,0.0148947672917796,0.0265026239316984,0.0270460334493906,0.0541897983544525,0.0845816319451268,0.0338471736911644,0.0450773088772368,0.0426804996873442,0.0623795388342943,0.0557002629953803,0.0592222825923422,0.026527283709668,0.0005129384566013,0.0,Eukaryota,Chordata,Mammalia,Rodentia,Muridae,Rattus,Rattus norvegicus,41.4234,GCA_000002265
727.250397600306,81017.17586616473,22657.39676907612,-4.642703279447587,-4.630844204719216e-05,0.2359136875435112,0.1173099039679115,0.1172302303826379,Gallus gallus,9031,49673,0.23454013435054938,-0.046308442047192165,81.01717586616473,0.0443377881378657,0.0949364433043444,0.0606612798324382,0.072738296491946,0.0653633186709998,0.0597873182381862,0.0359781762688604,0.0230948192110321,0.012204175686057,0.0276427589202389,0.0256471200315124,0.0526463942457117,0.0834154608836609,0.0369232137758653,0.0466758219412288,0.0473340933391008,0.0698961370435364,0.0588797869465997,0.0584301170213113,0.023398143420284,3.021761036713633e-06,3.5902125946498395e-06,Eukaryota,Chordata,Aves,Galliformes,Phasianidae,Gallus,Gallus gallus,51.8,GCA_000002315
490.2533182259631,55410.36347253696,16742.0557888663,0.2124743714254882,0.0001834812846538,0.2582649848137863,0.125287973820701,0.1144923696357342,Tribolium castaneum,7070,18534,0.2397803434564352,0.1834812846538,55.410363472536964,0.0584861066415373,0.0918873857194422,0.0638894710156979,0.0601800843467982,0.0550981705399103,0.0507024211518762,0.0440020214371061,0.0232152417059122,0.0112971117793797,0.0331112502897338,0.0247470736069581,0.0571030279821302,0.0741285250503712,0.0506709031055019,0.0397639325964964,0.0506619445655168,0.0638304250702161,0.069733223849983,0.0555547499707171,0.0218951979068265,4.173166787791948e-05,0.0,Eukaryota,Arthropoda,Insecta,Coleoptera,Tenebrionidae,Tribolium,Tribolium castaneum,35.1887,GCA_000002335
695.4828354054556,78880.79417331601,21865.99102706256,5.061606977175728,0.0002880382612349,0.2443931086843143,0.1431524670772528,0.1298741266270829,Plasmodium vivax,5855,5389,0.2730265937043357,0.2880382612349,78.880794173316,0.0607689231109486,0.085448953476609,0.0532476549690444,0.0504513585545898,0.0588078637719782,0.0351590266293076,0.0449275771277119,0.0218748441016018,0.0073061060345063,0.0420961192174446,0.0252900037861882,0.0440425950600705,0.075936933588359,0.0701350883651436,0.0322383127251127,0.054787430638418,0.0750866959886648,0.0953475492554408,0.0478049178218119,0.0191799656751695,5.862604703817562e-05,0.0,Eukaryota,Apicomplexa,Aconoidasida,Haemosporida,Plasmodiidae,Plasmodium,Plasmodium vivax,42.2825,GCA_000002415
639.4299124900557,72651.55556085918,20653.824114920557,4.814319809069213,0.0002743496413594,0.2441325496414064,0.1418599578885864,0.1293751913238472,Plasmodium vivax,5855,6285,0.27123514921243363,0.2743496413594,72.65155556085918,0.0620253745811948,0.0855730945234706,0.0513284682206882,0.0478339123408339,0.0575036615226215,0.0353381021111809,0.0452056123160521,0.0218290552542629,0.0073315518794731,0.0454050614381629,0.0246884827981122,0.0447205979850259,0.0763736717804092,0.0716459603415883,0.0318580625752714,0.0553372803998967,0.07403791092395,0.0955388245739803,0.0463211333146059,0.0201041811192165,0.0,0.0,Eukaryota,Apicomplexa,Aconoidasida,Haemosporida,Plasmodiidae,Plasmodium,Plasmodium vivax,39.2113,GCA_900093535
653.6488398881027,74206.16970544677,20932.78341288487,5.270363666282705,0.0002910704696303,0.2444234217531083,0.1422194233639975,0.1290858089272551,Plasmodium vivax,5855,6077,0.2713052322912526,0.29107046963030003,74.20616970544677,0.0618885151739156,0.0858567213840579,0.0516153282795643,0.0486836580709871,0.0579488654387889,0.0350593350729095,0.0450628569155701,0.0218343390024918,0.0072603253740371,0.0442592095061539,0.0248384606042388,0.0445871986974148,0.0766506443132582,0.071260580402159,0.0320520125651387,0.0549919872396512,0.0740938216876037,0.0954882138183042,0.0467312095456933,0.0198367169080599,0.0,0.0,Eukaryota,Apicomplexa,Aconoidasida,Haemosporida,Plasmodiidae,Plasmodium,Plasmodium vivax,39.6833,GCA_900093545
